Ticker,Date,Trade Type,Action,Shares,Price,Profit,Balance
META,27.10.2022 09:30,Long,Close,7.0,101.70600128173828,-185.45796966552734,752.5626602172852
META,16.11.2022 09:30,Long,Open,6.0,113.9499969482422,0,68.86267852783192
META,09.12.2022 10:30,Long,Close,6.0,116.6750030517578,16.35003662109358,768.9126968383787
META,09.12.2022 11:30,Short,Open,6.0,117.01010131835938,0,1470.973304748535
META,22.12.2022 09:30,Short,Close,6.0,116.41000366210938,3.6005859375,772.5132827758787
META,22.12.2022 10:30,Long,Open,6.0,116.31829833984376,0,74.60349273681607
META,23.01.2023 09:30,Long,Close,6.0,141.9322052001953,153.6834411621093,926.1967239379879
META,25.01.2023 09:30,Long,Open,6.0,141.69000244140625,0,76.05670928955044
META,02.02.2023 09:30,Long,Close,6.0,188.46499633789065,280.6499633789064,1206.8466873168945
META,06.02.2023 14:30,Long,Open,6.0,185.85989379882807,0,91.68732452392624
META,27.04.2023 09:30,Long,Close,6.0,238.6499938964844,316.740600585938,1523.5872879028327
META,02.05.2023 15:30,Long,Open,6.0,239.2400054931641,0,88.14725494384811
META,11.05.2023 09:30,Long,Close,6.0,236.5511932373047,-16.13287353515642,1507.4544143676762
META,11.05.2023 10:30,Short,Open,6.0,237.6537933349609,0,2933.3771743774414
META,23.05.2023 13:30,Short,Close,6.0,247.60020446777344,-59.67846679687517,1447.7759475708008
META,23.05.2023 14:30,Long,Open,5.0,247.0800018310547,0,212.37593841552734
META,23.06.2023 11:30,Long,Close,5.0,286.1300048828125,195.25001525878906,1643.0259628295898
META,29.06.2023 09:30,Long,Open,5.0,284.30499267578125,0,221.5009994506836
META,26.07.2023 09:30,Long,Close,5.0,297.6199951171875,66.57501220703125,1709.600975036621
META,31.07.2023 14:30,Long,Open,5.0,319.0950012207031,0,114.12596893310547
META,11.09.2023 09:30,Long,Close,5.0,305.20001220703125,-69.47494506835938,1640.1260299682617
META,12.09.2023 10:30,Long,Open,5.0,301.79998779296875,0,131.12609100341797
META,20.09.2023 09:30,Long,Close,5.0,306.056884765625,21.28448486328125,1661.410514831543
META,29.09.2023 13:30,Long,Open,5.0,299.95001220703125,0,161.66045379638672
META,07.12.2023 09:30,Long,Close,5.0,324.25,121.49993896484375,1782.9104537963867
META,07.12.2023 10:30,Short,Open,5.0,324.9200134277344,0,3407.5105209350586
META,14.12.2023 09:30,Short,Close,5.0,330.2200012207031,-26.49993896484375,1756.410514831543
META,14.12.2023 12:30,Long,Open,5.0,330.6499938964844,0,103.1605453491211
META,05.01.2024 09:30,Long,Close,5.0,351.70001220703125,105.25009155273438,1861.6606063842773
META,16.01.2024 09:30,Long,Open,5.0,371.010009765625,0,6.610557556152344
META,02.02.2024 09:30,Long,Close,5.0,473.6900024414063,513.3999633789065,2375.060569763184
META,06.02.2024 12:30,Long,Open,5.0,457.3800048828125,0,88.16054534912155
META,02.04.2024 14:30,Long,Close,5.0,495.8500061035156,192.35000610351562,2567.4105758666997
META,01.05.2024 13:30,Short,Open,5.0,443.5046997070313,0,4784.934074401856
META,10.05.2024 09:30,Short,Close,5.0,471.6099853515625,-140.52642822265597,2426.884147644044
META,10.05.2024 10:30,Long,Open,5.0,471.8299865722656,0,67.73421478271575
META,02.07.2024 15:30,Long,Close,5.0,509.6300048828125,189.00009155273438,2615.8842391967783
BABA,27.07.2022 14:30,Short,Open,9.0,102.71499633789062,0,1924.4349670410156
BABA,05.08.2022 09:30,Short,Close,9.0,93.48999786376952,83.02498626708997,1083.0249862670898
BABA,12.08.2022 09:30,Long,Open,11.0,92.83999633789062,0,61.78502655029297
BABA,09.09.2022 09:30,Long,Close,11.0,91.62999725341795,-13.309989929199375,1069.7149963378906
BABA,03.10.2022 10:30,Long,Open,13.0,79.69999694824219,0,33.61503601074219
BABA,24.10.2022 09:30,Long,Close,13.0,58.41999816894531,-276.6399841308594,793.0750122070312
BABA,27.10.2022 15:30,Long,Open,12.0,65.88999938964844,0,2.39501953125
BABA,15.11.2022 11:30,Long,Close,12.0,79.8550033569336,167.58004760742188,960.6550598144531
BABA,18.11.2022 09:30,Long,Open,11.0,80.27999877929688,0,77.5750732421875
BABA,04.01.2023 09:30,Long,Close,11.0,99.13999938964844,207.4600067138672,1168.1150665283203
BABA,12.01.2023 09:30,Long,Open,10.0,112.47000122070312,0,43.41505432128906
BABA,01.02.2023 14:30,Long,Close,10.0,113.04000091552734,5.6999969482421875,1173.8150634765625
BABA,10.02.2023 09:30,Long,Open,11.0,105.0199966430664,0,18.59510040283203
BABA,01.03.2023 09:30,Long,Close,11.0,90.37999725341795,-161.03999328613298,1012.7750701904296
BABA,06.03.2023 14:30,Long,Open,11.0,89.50849914550781,0,28.181579589843636
BABA,21.03.2023 09:30,Long,Close,11.0,82.91000366210938,-72.58345031738281,940.1916198730468
BABA,27.03.2023 09:30,Long,Open,10.0,86.01000213623047,0,80.09159851074207
BABA,29.09.2023 09:30,Long,Close,10.0,86.81390380859375,8.039016723632812,948.2306365966796
BABA,02.10.2023 13:30,Long,Open,11.0,86.125,0,0.8556365966795738
BABA,17.01.2024 09:30,Long,Close,11.0,68.42900085449219,-194.65599060058594,753.5746459960936
BABA,25.01.2024 13:30,Long,Open,10.0,73.79399871826172,0,15.634658813476449
BABA,02.07.2024 15:30,Long,Close,10.0,73.66999816894531,-1.2400054931640625,752.3346405029296
V,12.07.2022 15:30,Long,Open,4.0,204.77999877929688,0,180.8800048828125
V,25.08.2022 15:30,Long,Close,4.0,209.91000366210935,20.520019531249886,1020.5200195312499
