Datetime,Open,High,Low,Close,Adj Close,Volume
2022-07-07 09:30:00-04:00,233.9199981689453,241.31333923339844,232.2100067138672,240.9600067138672,240.9600067138672,9990601
2022-07-07 10:30:00-04:00,240.97666931152344,241.97999572753906,239.87786865234375,240.6999969482422,240.6999969482422,4069843
2022-07-07 11:30:00-04:00,240.68666076660156,242.69667053222656,240.5333251953125,242.68666076660156,242.68666076660156,2634667
2022-07-07 12:30:00-04:00,242.67999267578125,244.9401092529297,242.3666534423828,243.37489318847656,243.37489318847656,3230089
2022-07-07 13:30:00-04:00,243.3699951171875,245.36167907714844,243.1699981689453,244.90000915527344,244.90000915527344,2282387
2022-07-07 14:30:00-04:00,244.94464111328125,245.1666717529297,243.5066680908203,243.9566650390625,243.9566650390625,2222365
2022-07-07 15:30:00-04:00,243.94000244140625,244.8333282470703,243.56666564941406,244.489990234375,244.489990234375,2119906
2022-07-08 09:30:00-04:00,242.3333282470703,251.8958282470703,241.16143798828125,251.35667419433594,251.35667419433594,10547522
2022-07-08 10:30:00-04:00,251.35667419433594,254.97996520996094,251.1566619873047,254.0033416748047,254.0033416748047,6487530
2022-07-08 11:30:00-04:00,254.0532989501953,254.2966766357422,249.44667053222656,249.7566375732422,249.7566375732422,3158477
2022-07-08 12:30:00-04:00,249.67320251464844,251.2866668701172,247.7966766357422,251.1839599609375,251.1839599609375,4130954
2022-07-08 13:30:00-04:00,251.22499084472656,253.0499725341797,250.7340087890625,252.4249267578125,252.4249267578125,2702077
2022-07-08 14:30:00-04:00,252.4266815185547,253.1199951171875,250.30999755859375,250.64500427246094,250.64500427246094,2658050
2022-07-08 15:30:00-04:00,250.6666717529297,251.4633331298828,249.72666931152344,250.69000244140625,250.69000244140625,2591815
2022-07-11 09:30:00-04:00,252.10333251953125,253.06333923339844,239.0833282470703,240.31666564941406,240.31666564941406,11304434
2022-07-11 10:30:00-04:00,240.3534698486328,241.9566192626953,236.18666076660156,236.8316192626953,236.8316192626953,5264813
2022-07-11 11:30:00-04:00,236.86334228515625,237.39666748046875,233.88999938964844,234.260009765625,234.260009765625,3959894
2022-07-11 12:30:00-04:00,234.26666259765625,237.5833740234375,234.1666717529297,237.3666534423828,237.3666534423828,3525030
